report_id,title,published_date,api_update_date,official_page,official_page_verified_by_api,mirror_pdf,mirror_html,metadata_source,archived_versions
33-63895,SOUTHWESTERN ENERGY COMPANY,1997-11-01,,https://www.congress.gov/crs-product/33-63895,False,https://www.everycrsreport.com/files/19971101_33-63895_7cc19ae43a98d260c612d3f379c564bbfe3a868f.pdf,https://www.everycrsreport.com/files/19971101_33-63895_7cc19ae43a98d260c612d3f379c564bbfe3a868f.html,EveryCRSReport.com,0
7-5415,Major U.S. Arms Sales and Grants to Pakistan Since 2001,2013-03-07,,https://www.congress.gov/crs-product/7-5415,False,https://www.everycrsreport.com/files/20130307_7-5415_d1a10a2f60b12c9e8ae664d037bb9b595088dd5b.pdf,https://www.everycrsreport.com/files/20130307_7-5415_d1a10a2f60b12c9e8ae664d037bb9b595088dd5b.html,EveryCRSReport.com,0
7-5700,Introducing a Public Advocate into the Foreign Intelligence Surveillance Act's Courts: Select Legal Issues,2013-10-25,,https://www.congress.gov/crs-product/7-5700,False,https://www.everycrsreport.com/files/20131025_7-5700_bbfd04b6f0423e59cb4dea88ca329adf766b951b.pdf,https://www.everycrsreport.com/files/20131025_7-5700_bbfd04b6f0423e59cb4dea88ca329adf766b951b.html,EveryCRSReport.com,0
7-6678,"Direct Overt U.S. Aid Appropriations for and Military Reimbursements to Pakistan, FY2002-FY2015",2014-03-06,,https://www.congress.gov/crs-product/7-6678,False,https://www.everycrsreport.com/files/20140306_7-6678_c85860dbf9c02e49a291236ad6db4bcd3985551e.pdf,https://www.everycrsreport.com/files/20140306_7-6678_c85860dbf9c02e49a291236ad6db4bcd3985551e.html,EveryCRSReport.com,0
71-240D,Development of National Urban Growth and Rural Development Policy: Legislative and Executive Actions in 1970 and 1971,1972-03-23,,https://www.congress.gov/crs-product/71-240D,False,https://www.everycrsreport.com/files/19720323_71-240D_8ad4e9c4c562f875a61d0e5953800838f12d4a3d.pdf,https://www.everycrsreport.com/files/19720323_71-240D_8ad4e9c4c562f875a61d0e5953800838f12d4a3d.html,EveryCRSReport.com,0
72-224,Nursing Homes and the Congress: A Brief History of Developments and Issues,1972-11-01,,https://www.congress.gov/crs-product/72-224,False,https://www.everycrsreport.com/files/19721101_72-224_b016d4770df335087360b9e869cbce13a5b6829f.pdf,https://www.everycrsreport.com/files/19721101_72-224_b016d4770df335087360b9e869cbce13a5b6829f.html,EveryCRSReport.com,0
72-274E,The Federal Budget Process,1972-12-29,,https://www.congress.gov/crs-product/72-274E,False,https://www.everycrsreport.com/files/19721229_72-274E_46dbad582cf48f3226a6fa3a2853e76695ef8fe1.pdf,https://www.everycrsreport.com/files/19721229_72-274E_46dbad582cf48f3226a6fa3a2853e76695ef8fe1.html,EveryCRSReport.com,0
76-149,To Create a Senate Select Committee on Intelligence: A Legislative History of Senate Resolution 400,1976-08-12,,https://www.congress.gov/crs-product/76-149,False,https://www.everycrsreport.com/files/19760812_76-149_3b285cdeaa0c46b3f8fc4dfb72533c8f8b76b81b.pdf,https://www.everycrsreport.com/files/19760812_76-149_3b285cdeaa0c46b3f8fc4dfb72533c8f8b76b81b.html,EveryCRSReport.com,0
76-19E,The National Debt: A Discussion of the Issues Involved,1976-02-12,,https://www.congress.gov/crs-product/76-19E,False,https://www.everycrsreport.com/files/19760212_76-19E_ef8bcd8bae26891bdcb21290a69dd24986e30b29.pdf,https://www.everycrsreport.com/files/19760212_76-19E_ef8bcd8bae26891bdcb21290a69dd24986e30b29.html,EveryCRSReport.com,0
78-12ED,"Child Abuse: History, Legislation and Issues",1978-01-13,,https://www.congress.gov/crs-product/78-12ED,False,https://www.everycrsreport.com/files/19780113_78-12ED_03c73f88e32130a220a8d0bed163bf76b9fdcf9a.pdf,https://www.everycrsreport.com/files/19780113_78-12ED_03c73f88e32130a220a8d0bed163bf76b9fdcf9a.html,EveryCRSReport.com,0
