id,title,date,version,pdf,html,markdown,pdf_sha256,pdf_source,metadata_source
IF10045,Cuba: U.S. Policy Overview,2025-01-08,104,pdf/in-focus/IF10045v104-2025-01-08-8724742b80747d34.pdf,html/in-focus/IF10045v104-2025-01-08-8724742b80747d34-f397e78e3ffe.html,markdown/in-focus/IF10045v104-2025-01-08-8724742b80747d34.md,8724742b80747d347350e12a866500515343df0a3da7af36d08c667eb65dc5dd,https://www.congress.gov/crs_external_products/IF/PDF/IF10045/IF10045.104.pdf,EveryCRSReport.com
IF10119,China Primer: U.S.-China Relations,2026-09-22,126,pdf/in-focus/IF10119v126-2026-09-22-1d341fe95172f50c.pdf,html/in-focus/IF10119v126-2026-09-22-1d341fe95172f50c-451f178503f7.html,markdown/in-focus/IF10119v126-2026-09-22-1d341fe95172f50c.md,1d341fe95172f50c34bff03b2e1adb5fe0858360b418ac241f0728dbb94086f5,https://www.everycrsreport.com/files/2026-09-22_IF10119_028c65d9f6e2cac36a7838588400db5ab67c64fc.pdf,EveryCRSReport.com
IF10165,South Korea: Background and U.S. Relations,2026-09-17,66,pdf/in-focus/IF10165v66-2026-09-17-894fee7dcccd5c25.pdf,html/in-focus/IF10165v66-2026-09-17-894fee7dcccd5c25-0b0892b53716.html,markdown/in-focus/IF10165v66-2026-09-17-894fee7dcccd5c25.md,894fee7dcccd5c25b7c8f74908bbb49231d152678e19566d36c440a81bd496f1,https://www.everycrsreport.com/files/2026-09-17_IF10165_96d310ff5fbc6650e71384b88e96c492126439ea.pdf,EveryCRSReport.com
IF10292,The Debt Limit,2026-09-21,22,pdf/in-focus/IF10292v22-2026-09-21-35cdcd16a1336080.pdf,html/in-focus/IF10292v22-2026-09-21-35cdcd16a1336080-5fcfe9752b75.html,markdown/in-focus/IF10292v22-2026-09-21-35cdcd16a1336080.md,35cdcd16a1336080efda0eafec4be720caba4c90669cd92b5137d89a8af2df27,https://www.everycrsreport.com/files/2026-09-21_IF10292_e0ba09f69e47a21c569578c96d7765d008c55d05.pdf,EveryCRSReport.com
IF10464,United Nations Issues: Congressional Representatives to the UN General Assembly,2026-09-18,26,pdf/in-focus/IF10464v26-2026-09-18-f03659492880cd1b.pdf,html/in-focus/IF10464v26-2026-09-18-f03659492880cd1b-247d61d89ff7.html,markdown/in-focus/IF10464v26-2026-09-18-f03659492880cd1b.md,f03659492880cd1b0210e5dd54f717a3a6e2b53abfe1ff7616046c95017444f2,https://www.everycrsreport.com/files/2026-09-18_IF10464_dab9d8d7dae6adfec99753ad80d0cc142af5ab86.pdf,EveryCRSReport.com
IF10542,Defense Primer: Control and Command of the U.S. Military,2026-09-11,15,pdf/in-focus/IF10542v15-2026-09-11-f1b875b1fb48aca6.pdf,html/in-focus/IF10542v15-2026-09-11-f1b875b1fb48aca6-f9c5afad7aa3.html,markdown/in-focus/IF10542v15-2026-09-11-f1b875b1fb48aca6.md,f1b875b1fb48aca65d3f4fb07ce4b34b8ca9569fdc13852db44a1fe3fcd50fb1,https://www.everycrsreport.com/files/2026-09-11_IF10542_fd9a8b18065e86235fa3eecb789bda719b0e3948.pdf,EveryCRSReport.com
IF10733,U.S.-South Korea Bilateral Trade Relations,2026-09-17,21,pdf/in-focus/IF10733v21-2026-09-17-1294acc24ec9f5b7.pdf,html/in-focus/IF10733v21-2026-09-17-1294acc24ec9f5b7-95f3ace0bb11.html,markdown/in-focus/IF10733v21-2026-09-17-1294acc24ec9f5b7.md,1294acc24ec9f5b77446f708f96acfed6a4f15053069b4ecbacbb29f95e4fa6a,https://www.everycrsreport.com/files/2026-09-17_IF10733_b06292a4160e8051412dff6feab04fa72d585e82.pdf,EveryCRSReport.com
IF10767,Farm Credit Administration and Its Board Members,2026-09-17,22,pdf/in-focus/IF10767v22-2026-09-17-203ca08ed40e2a6a.pdf,html/in-focus/IF10767v22-2026-09-17-203ca08ed40e2a6a-64b21db6a872.html,markdown/in-focus/IF10767v22-2026-09-17-203ca08ed40e2a6a.md,203ca08ed40e2a6a52108968a617d3c2b20163140b5f61f2155eb3291672d76d,https://www.everycrsreport.com/files/2026-09-17_IF10767_19844f8bcdc822917b38391a69b87aaec58096e8.pdf,EveryCRSReport.com
IF11120,U.S.-Japan Trade Agreements and Tariff Negotiations,2026-09-22,26,pdf/in-focus/IF11120v26-2026-09-22-3f29569aba5c360a.pdf,html/in-focus/IF11120v26-2026-09-22-3f29569aba5c360a-42c5fa96ab75.html,markdown/in-focus/IF11120v26-2026-09-22-3f29569aba5c360a.md,3f29569aba5c360a6e5dca092064a3c7a0dd944dc31646de83ca33c55326caaf,https://www.everycrsreport.com/files/2026-09-22_IF11120_7ff472cfe247f634ffb5d9a48a5ee590886ddd12.pdf,EveryCRSReport.com
IF11218,Ecuador: Country Overview and U.S. Relations,2025-08-18,21,pdf/in-focus/IF11218v21-2025-08-18-ccfeed1633197204.pdf,html/in-focus/IF11218v21-2025-08-18-ccfeed1633197204-15f1b6875465.html,markdown/in-focus/IF11218v21-2025-08-18-ccfeed1633197204.md,ccfeed1633197204c330dca3694bd4375b4b4e3f0230ffc872fdb9c36b905654,https://www.everycrsreport.com/files/2025-08-18_IF11218_ccc8073232085186beac17a53a3d5d029a718c74.pdf,EveryCRSReport.com
