number,url,sha1,latestPubDate,title,latestPDF,latestHTML
R49359,reports/R49359.json,f35892db01b9a65eca647aa5ab83e7891f36c2bf,2026-09-23,College Sports Media Rights: Background and Issues for Congressional Consideration,files/2026-09-23_R49359_4b188886935ea4fa107ed9e2bb9804e61bbc0a8f.pdf,files/2026-09-23_R49359_f37ba871dd3ed5f94e0999ec8f3dc321a5521ada.html
R45210,reports/R45210.json,82adf6eb7426648603756981862532ceb46c6b6f,2026-09-23,"Farm Bills: Major Legislative Actions, 19652026",files/2026-09-23_R45210_d942d7e0fa5d7c5f70ba6dba72333abe0f118580.pdf,files/2026-09-23_R45210_5c72a15eceb49d3029c74fc8ad3720db914bc17c.html
RL34480,reports/RL34480.json,17a8cffca0c6016d7dc65fb9f3ca491766825468,2026-09-23,Enrollment of Legislation: Relevant Congressional Procedures,files/2026-09-23_RL34480_b20e01dc9571e75cfa99f477001ec1d38b8fbdbd.pdf,files/2026-09-23_RL34480_c3812e7f9ca8e6694b61bb964fb03482b9d07d7d.html
IF13318,reports/IF13318.json,2f66199ce00166836c5ec046da0d4c38c4101361,2026-09-23,Air Force MQ-9A Reaper: Background and Issues for Congress,files/2026-09-23_IF13318_c8176cdcee576292a3ed4e4f77a342674d50826d.pdf,files/2026-09-23_IF13318_afa383ff2e308f03ba7218d33606c071ace9127f.html
R48093,reports/R48093.json,e9eba7823e1e924cd706a007a680fd620359f92b,2026-09-23,Federal-Tribal Consultation: Background and Issues for Congress,files/2026-09-23_R48093_40730d0eeeab1a0c38e9fd99ee5562d1326d6583.pdf,files/2026-09-23_R48093_ae24fcc6ac4bfae217319c1234d9d64318f15659.html
IF13319,reports/IF13319.json,dd0ed603e2b1dd9bc970e3cd372275a388fa65a3,2026-09-23,Private Investments and Insurance Companies,files/2026-09-23_IF13319_cfbd1b42cab9d52e4c6ac43970dcd7996f91e9aa.pdf,files/2026-09-23_IF13319_fa4b250ff2d05f582cc6d22b9b2d9d2f09da0d56.html
R48859,reports/R48859.json,e3b6589158cb56d2f6b72ef51c680b68311409d5,2026-09-23,Mexico: Background and Key Issues in U.S. Relations,files/2026-09-23_R48859_4b04085ed84cb339b2ed8212b796d9dcf8d8d207.pdf,files/2026-09-23_R48859_a8683dcc174769184796b79d7adefb7ece522d84.html
LSB11484,reports/LSB11484.json,0ee18ac68c99ddd45d15f64ec04b33816bd10f93,2026-09-23,The Protect College Sports Act of 2026: Potential Implications for Title IX,files/2026-09-23_LSB11484_909c77acc90b2ba41554a9894eb4e23008dd9240.pdf,files/2026-09-23_LSB11484_a5821389dea71c889255bfe0dad78b8a653f2b55.html
IF10119,reports/IF10119.json,8dec3ab0d62daecd8fdb86f53cb9719160317ec2,2026-09-22,China Primer: U.S.-China Relations,files/2026-09-22_IF10119_028c65d9f6e2cac36a7838588400db5ab67c64fc.pdf,files/2026-09-22_IF10119_b242b30a5adddbca48d9dfebf7be74904ac4f3c4.html
IF11806,reports/IF11806.json,c26703bf91b80c1fbd4963991db05d2352f55267,2026-09-22,Citizenship and Immigration Statuses of the U.S. Foreign-Born Population,files/2026-09-22_IF11806_9db4af3e783578cbfad9023ef1471273d2652819.pdf,files/2026-09-22_IF11806_2b429d2e6a40f9f4a4127028843cbe681dc04dc1.html
R49358,reports/R49358.json,f15d393b7ae3defed57303ea9740625b7c2aac91,2026-09-22,Analyzing the Incidence of the Corporate Income Tax: Models and Statistical Estimates,files/2026-09-22_R49358_472f84dd10aa0752253ec5b427eb40742590223f.pdf,files/2026-09-22_R49358_085c7d38ca9526bed90999d51f987f29460b023d.html
IF11120,reports/IF11120.json,d7ceaafaf81409c0a4a64991f42aa25c4df6536b,2026-09-22,U.S.-Japan Trade Agreements and Tariff Negotiations,files/2026-09-22_IF11120_7ff472cfe247f634ffb5d9a48a5ee590886ddd12.pdf,files/2026-09-22_IF11120_add4bc7e4136877d47256e5e55c7cb65551f0b03.html
IF12240,reports/IF12240.json,1115dafedacd915488b2d3b3673956beedd2ef44,2026-09-22,Defense Primer: Statutory Military Readiness Reporting,files/2026-09-22_IF12240_9bed002a4df47943d189e7d360bf667017a5ef51.pdf,files/2026-09-22_IF12240_726416c44c1ee1d540993589ff9b5cd48a9b4667.html
LSB11403,reports/LSB11403.json,e1ffc2d7b715f1e2fa2a819326b1e554bb58f4c2,2026-09-22,International Agreements and Non-binding Instruments: The Case-Zablocki Act (Case Act),files/2026-09-22_LSB11403_3b7de7939512c20f2b70cf3d15bb02bb2dde1c65.pdf,files/2026-09-22_LSB11403_a65300c636ce869df2a672ba7a697077149664da.html
LSB11401,reports/LSB11401.json,0d1f04242553e73553d72ff6c2274471836fb629,2026-09-21,The United States’ Prosecution of Nicolás Maduro Moros: United States v. Maduro,files/2026-09-21_LSB11401_cf4c140d31042f1b462e26c9352da34a8d17434e.pdf,files/2026-09-21_LSB11401_8b2953170c6c5fc24fc8a34fbc65b18522b1749f.html
R49357,reports/R49357.json,b3ad9356a307d13e00d29a3c1dffb888d7444ded,2026-09-21,"Judiciary Appropriations, FY2026",files/2026-09-21_R49357_482a193eb782e74ae8e1d6027c3a09e99e5fdfd9.pdf,files/2026-09-21_R49357_8a2a4d80563f506574a49c86dcf774713298a446.html
